author,content
"
卖火柴的小妮子
","


农村割稻谷，一大叔一个人在那里割一早上了，快回去吃午饭的点了，他老婆恩爱的把饭送到田埂给他吃。路过的同村​看到，夸他:有个贤惠的老婆真有福气，还给你送饭。他一把把饭盆摔了:​福气？她这是希望我不回去午休，吃完饭接着割稻谷，怕累不死我。。。

"
"
义行天下7
","


吃过晚饭，斜靠在沙发上玩手机时，，突然想起白天电 话和一多年不见的老同学约好 视.  频 .聊天！非常要好的同学，上学时经常开玩笑不带生气的！于是我给他发了个视  .频 ，可能他也在玩手机，马上就接通了，想吓 他一下，于是我大声 吼:你个吊  .毛，在玩啥  游 戏呢？“砰”的一声，身上被什么东西狠狠砸了一下，抬头一看，是一只拖鞋，我家母老 虎正怒视着我吼道:你特么骂谁  吊.  毛 呢？我玩游 戏管 你 鸟 事啊？卧槽……

"
"
坏小孩cium
","


记得怀孕的时候孕吐特别厉害，几乎天天吐，很少像其它孕妇一样有特别想要吃的东西。所以当我有一天和我爸爸说我想吃哈密瓜的时候，年三十儿晚上我爸给水果店老板打电话，非得买哈密瓜。我爸兴冲冲的把哈密瓜拿回家给我的时候，我一高兴肚子颤动，张嘴就癫吐了。。。

"
"
吃了两碗又盛
","


今天一普通朋友结婚，如果我去呢，要向单位请假，扣工资，我媳妇去呢，店里的营业收入要受影响，背着抱着一边沉。最后经过讨论还是我去了，理由如下:1，我目标大，朋友虽说忙着结婚，但一定看得见我。2，我胃口好，随的份子钱能吃回来个大概。3，长相随意，不会喧宾夺主。

"
"
醉酒舞剑砍疯子..…
","


闺蜜是一年级老师，在昨天班会上的主题是:你们长大的梦想是什么？同学们争先恐后的举手，有的说想长大了当老师，有的说长大了当司机……最后一个同学站起来回答的时候，声音特别响亮：老师，我的梦想是长大了做一双特别高的高跟鞋！同学们都哈哈大笑起来，闺蜜好奇的问：那你说说为什么要做一双特别高的高跟鞋呢？教室里异常安静，大家都在等着这位同学说出原因，只见这位同学不紧不慢的大声说：我要做特别高的高跟鞋送给老师，这样老师穿上后，就不用踩着凳子在黑板上写字了！闺蜜被这个学生感动的一句话说不出来[笑哭]

"
"
坏小孩cium
","


在北京朋友那，我学会用夜壶，回农村老家后没夜壶，我就改带盖不修钢汤锅替代。。。        那天早上拎着汤锅准备去茅房，遇到小时候几个发小，热情扑过来问我啥好吃的，我羞怯的护住:没没没!是米田 共水。       她们不信，一个抱着我，几个轮番夺，终于寡不敌众，她们举着汤锅，用不屑的语气:出去几年还学会吃独食，小木养儿。       然后她们以胜利者的姿态打开了盖。。。

"
"
再见单身狗
","


昨天收到姐们一个朋友圈优惠活动：每天仅限前十名VIP专座，VIP专座者可参与9.5折活动（最终解释权归本店所有）原来是她新开了一个卤肉店！我一看这必须得趁早去啊，太阳公公刚刚落山就占座去了，老公和孩子随后就到到了地方才知道，特么，总共就两张桌子一张桌子顶多就能坐五个人的样子[捂脸]

"
"
空城旧梦她与伞
","


接到老师电话，说读小学一年级的女儿，和班上男同学打架，叫双方家长都去一下。担心女儿，我是立马赶到学校，走进办公室，发现女儿站在一旁，眼里有泪水，手上还有一道指甲划过的血痕。当时我心疼的，眼泪都快流下来。老师看到后，忙拉过一个男孩子，说道：这位家长，你看看，是和这个同学打架。只见那小男生，脸上七八道血痕，鼻子流着血，上衣也被扯烂啦。我转过身，教育女儿：和你说了多少次了，同学之间一定要友爱，不要打架，你这个是在哪里学的，跟谁学的?女儿喃喃地说道：在家跟妈妈学的，妈妈常常这样
…
查看全文"
"
埃德·挨都挨不得
","


工作原因，一年多没在家。回家后，发现上幼儿园大班的女儿，养成了一些不良习惯，在我的多次批评教育下，女儿把我的小皮箱推给我，对我说:“爸爸，你走吧，我们家不要你了”。我平常都舍不得打，今天不打不行了……

"
"
大小可爱爱爱
","


楼主今年三十有余！每次 开 车 路过幼 儿园 ，都不 敢 按 喇叭 ，因为怕 吓 到 我未 来 的 女  朋 友……

"
"
空城旧梦她与伞
","


初中毕业后，在县城做学徒，带我的那个师傅，喝两杯后，常常在我面前吹嘘自己当年如何风流倜傥，一个农村穷小子，竟然追到了村花。有次还拿着他老婆的照片给我看，看那眉目，年轻时应该是个美人胚子。后来我技术学成，南下广东，独在异乡为异客，寂寞空虚冷。那天忽遇厂花，惊为天人，却总觉得似曾相识，绞尽脑汁却想不起来在哪见过。于是展开热烈追求，厂花根本不为所动。心情烦闷下，并向师傅讨教，师傅也是知无不言言无不尽，教了我很多套路。终于成功抱的美人归。年底随厂花去见她父母，推开房门，我和她爸爸两人
…
查看全文"
"
石头，剪刀，破布
","


闺蜜家快装修好了，我瞅空到她家参观了一下，发现她家买的灯都挺好看的，客厅买的水晶大灯最为豪华。禁不住感慨：“这么多灯都打开，你家电表得跑的多快呀，兔子都撵不上了。”谁知她说：“谁说我要都开，家里来客的时候才会开，看客人啥身份，啥身份开啥灯。”悠悠的问……“我呢”……？人家回……“壁灯”……[咒骂][咒骂][咒骂][咒骂][咒骂]

"
"
姐姐掉沟里了
","


我做梦也没有想到，这次来的相亲对象，竟然是我表哥！帮我们牵线的朋友一听，笑得老开心了：天意啊！老亲开新亲，亲上加亲！表哥郁闷的说：近亲不能结婚，这一点我还是懂的！朋友听了，嗤之以鼻：到领证那一天，​你不说，她不说，谁知道你们是近亲啊！我暗中点了一下头，斜着眼睛看表哥怎样应对。表哥犹豫了一会说：如果近亲结婚，生下来的孩子​有缺陷怎么办？总不能把TA扔了吧？！我故意逗他说：我们可以做丁克族啊，这个问题不是就解决了？表哥一听就跳了起来，大声说：少来这一套！你又不是不知道，你大表哥、二表哥家
…
查看全文"
"
狐地瓜大人
","


同事买理财赚了不少钱，要请大家吃个饭，尤其是要感谢我的推荐。精心准备了半天的发言，准备吃饭的时候给大家传授经验。饭桌上，话题自然而然的引导到怎么买理财，同事指着我说：他就是明灯，他看好哪个板块，那个板块千万别买；他觉得哪个板块一般，就可以买点；他觉得哪个板块不行，买就行了，稳赚…

"
"
空城旧梦她与伞
","


小时候，家里买了一匹马。有一次，我和小伙伴骑着马去隔壁镇上玩，小孩子玩的比较疯，结果马不见了。当时我吓坏了，这马可是花了不少钱买回来的，丢了的话，估计，我妈打死我的心都有。我躲在村口的草垛里，实在是饿的不行，晚上十一点，才拖着疲惫的脚步回家，到家后，看到马在院子里，我欣喜若狂。这时，耳边传来我妈暴躁的声音：你死哪去了，这么晚才回家，害我到处找你。然后，我终究逃不过一顿海揍[大哭][大哭]

"
